Word           Posting List   
----------------------------------------------------

Brutus         [(1, 11), (2, 8)]
Caesar         [(1, 4), (2, 12)]
Caesar.        [(2, 5)]       
Capitol;       [(1, 10)]      
I              [(1, 0), (1, 5)]
Julius         [(1, 3)]       
So             [(2, 0)]       
The            [(2, 6)]       
ambitious.     [(2, 14)]      
be             [(2, 3)]       
did            [(1, 1)]       
enact          [(1, 2)]       
hath           [(2, 9)]       
in             [(1, 8)]       
it             [(2, 2)]       
killed         [(1, 7), (1, 12)]
let            [(2, 1)]       
me.            [(1, 13)]      
noble          [(2, 7)]       
the            [(1, 9)]       
told           [(2, 10)]      
was            [(1, 6), (2, 13)]
with           [(2, 4)]       
you            [(2, 11)]      
